"","word","negative","positive","contentment_posneg","category"
"1","wireless",0,2277,2277,"positive"
"2","job",0,1970,1970,"positive"
"3","status",0,1098,1098,"positive"
"4","benefit",0,701,701,"positive"
"5","deal",0,585,585,"positive"
"6","lead",0,556,556,"positive"
"7","pay",0,544,544,"positive"
"8","wit",0,517,517,"positive"
"9","question",0,504,504,"positive"
"10","talk",0,486,486,"positive"
"11","public",0,388,388,"positive"
"12","protect",0,364,364,"positive"
"13","build",0,308,308,"positive"
"14","reason",0,249,249,"positive"
"15","offer",0,239,239,"positive"
"16","bolster",0,236,236,"positive"
"17","govern",0,222,222,"positive"
"18","special",0,219,219,"positive"
"19","explain",0,196,196,"positive"
"20","expert",0,178,178,"positive"
"21","credit",0,176,176,"positive"
"22","forward",0,171,171,"positive"
"23","store",0,169,169,"positive"
"24","robust",0,159,159,"positive"
"25","tower",0,158,158,"positive"
"26","major",0,154,154,"positive"
"27","afford",0,142,142,"positive"
"28","legal",0,126,126,"positive"
"29","chairman",0,119,119,"positive"
"30","option",0,117,117,"positive"
"31","truth",0,115,115,"positive"
"32","author",0,114,114,"positive"
"33","focus",0,110,110,"positive"
"34","content",0,107,107,"positive"
"35","leader",0,107,107,"positive"
"36","save",0,107,107,"positive"
"37","top",0,102,102,"positive"
"38","counsel",0,101,101,"positive"
"39","earn",0,95,95,"positive"
"40","money",0,95,95,"positive"
"41","mate",0,92,92,"positive"
"42","share",0,90,90,"positive"
"43","vigor",0,89,89,"positive"
"44","laugh",0,88,88,"positive"
"45","succeed",0,83,83,"positive"
"46","growth",0,78,78,"positive"
"47","instruct",0,78,78,"positive"
"48","agreement",0,76,76,"positive"
"49","oath",0,76,76,"positive"
"50","love",0,75,75,"positive"
"51","cash",0,74,74,"positive"
"52","partner",0,74,74,"positive"
"53","depth",0,67,67,"positive"
"54","true",0,67,67,"positive"
"55","gain",0,65,65,"positive"
"56","grow",0,65,65,"positive"
"57","pioneer",0,64,64,"positive"
"58","statement",0,64,64,"positive"
"59","labor",0,62,62,"positive"
"60","join",0,61,61,"positive"
"61","vow",0,58,58,"positive"
"62","expect",0,57,57,"positive"
"63","strength",0,57,57,"positive"
"64","enjoy",0,56,56,"positive"
"65","model",0,56,56,"positive"
"66","launch",0,55,55,"positive"
"67","real",0,55,55,"positive"
"68","excel",0,53,53,"positive"
"69","notion",0,53,53,"positive"
"70","prop",0,53,53,"positive"
"71","develop",0,52,52,"positive"
"72","director",0,52,52,"positive"
"73","throne",0,50,50,"positive"
"74","trend",0,48,48,"positive"
"75","usual",0,48,48,"positive"
"76","career",0,47,47,"positive"
"77","anchor",0,46,46,"positive"
"78","beer",0,46,46,"positive"
"79","civil",0,46,46,"positive"
"80","guard",0,46,46,"positive"
"81","lesson",0,46,46,"positive"
"82","main",0,46,46,"positive"
"83","actual",0,45,45,"positive"
"84","classic",0,44,44,"positive"
"85","fair",0,44,44,"positive"
"86","score",0,44,44,"positive"
"87","center",0,40,40,"positive"
"88","virgin",0,39,39,"positive"
"89","award",0,37,37,"positive"
"90","prosper",0,37,37,"positive"
"91","fellow",0,34,34,"positive"
"92","comfort",0,33,33,"positive"
"93","found",0,33,33,"positive"
"94","word",0,33,33,"positive"
"95","analyst",0,32,32,"positive"
"96","effort",0,32,32,"positive"
"97","vision",0,31,31,"positive"
"98","action",0,30,30,"positive"
"99","flow",0,30,30,"positive"
"100","level",0,29,29,"positive"
"101","extra",0,28,28,"positive"
"102","moral",0,27,27,"positive"
"103","prospect",0,27,27,"positive"
"104","prove",0,27,27,"positive"
"105","enrich",0,25,25,"positive"
"106","impress",0,25,25,"positive"
"107","attorney",0,24,24,"positive"
"108","learn",0,23,23,"positive"
"109","recommend",0,22,22,"positive"
"110","white",0,21,21,"positive"
"111","honor",0,20,20,"positive"
"112","rest",0,20,20,"positive"
"113","brilliant",0,18,18,"positive"
"114","hope",0,18,18,"positive"
"115","glow",0,14,14,"positive"
"116","cool",0,13,13,"positive"
"117","worth",0,13,13,"positive"
"118","core",0,11,11,"positive"
"119","success",0,11,11,"positive"
"120","ahead",0,10,10,"positive"
"121","obvious",0,10,10,"positive"
"122","glad",0,9,9,"positive"
"123","green",0,9,9,"positive"
"124","bless",0,8,8,"positive"
"125","dear",0,8,8,"positive"
"126","defend",0,8,8,"positive"
"127","general",0,8,8,"positive"
