"","word","negative","positive","contentment_posneg","category"
"1","wireless",0,322,322,"positive"
"2","job",0,279,279,"positive"
"3","deal",0,236,236,"positive"
"4","status",0,205,205,"positive"
"5","protect",0,132,132,"positive"
"6","benefit",0,91,91,"positive"
"7","talk",0,74,74,"positive"
"8","lead",0,63,63,"positive"
"9","pay",0,55,55,"positive"
"10","join",0,52,52,"positive"
"11","public",0,52,52,"positive"
"12","question",0,50,50,"positive"
"13","expect",0,40,40,"positive"
"14","reason",0,35,35,"positive"
"15","govern",0,32,32,"positive"
"16","save",0,32,32,"positive"
"17","major",0,30,30,"positive"
"18","money",0,30,30,"positive"
"19","analyst",0,28,28,"positive"
"20","explain",0,28,28,"positive"
"21","top",0,28,28,"positive"
"22","love",0,26,26,"positive"
"23","forward",0,25,25,"positive"
"24","share",0,24,24,"positive"
"25","build",0,23,23,"positive"
"26","wit",0,23,23,"positive"
"27","offer",0,22,22,"positive"
"28","chairman",0,20,20,"positive"
"29","expert",0,19,19,"positive"
"30","focus",0,19,19,"positive"
"31","option",0,19,19,"positive"
"32","tower",0,19,19,"positive"
"33","agreement",0,18,18,"positive"
"34","learn",0,18,18,"positive"
"35","statement",0,18,18,"positive"
"36","afford",0,17,17,"positive"
"37","cash",0,17,17,"positive"
"38","content",0,17,17,"positive"
"39","recommend",0,17,17,"positive"
"40","attorney",0,16,16,"positive"
"41","hope",0,16,16,"positive"
"42","store",0,15,15,"positive"
"43","credit",0,14,14,"positive"
"44","growth",0,14,14,"positive"
"45","real",0,14,14,"positive"
"46","succeed",0,14,14,"positive"
"47","white",0,14,14,"positive"
"48","bolster",0,12,12,"positive"
"49","cool",0,12,12,"positive"
"50","gain",0,11,11,"positive"
"51","legal",0,11,11,"positive"
"52","partner",0,11,11,"positive"
"53","special",0,11,11,"positive"
"54","true",0,11,11,"positive"
"55","ahead",0,10,10,"positive"
"56","center",0,10,10,"positive"
"57","core",0,10,10,"positive"
"58","grow",0,10,10,"positive"
"59","instruct",0,10,10,"positive"
"60","laugh",0,9,9,"positive"
"61","word",0,9,9,"positive"
"62","worth",0,9,9,"positive"
"63","develop",0,8,8,"positive"
"64","earn",0,8,8,"positive"
"65","fellow",0,8,8,"positive"
"66","seal",0,8,8,"positive"
"67","author",0,7,7,"positive"
"68","dear",0,7,7,"positive"
"69","oath",0,7,7,"positive"
"70","vow",0,7,7,"positive"
"71","comfort",0,6,6,"positive"
"72","counsel",0,6,6,"positive"
"73","defend",0,6,6,"positive"
"74","depth",0,6,6,"positive"
"75","director",0,6,6,"positive"
"76","effort",0,6,6,"positive"
"77","found",0,6,6,"positive"
"78","fusion",0,6,6,"positive"
"79","glad",0,6,6,"positive"
"80","robust",0,6,6,"positive"
"81","strength",0,6,6,"positive"
"82","success",0,6,6,"positive"
"83","throne",0,6,6,"positive"
"84","trend",0,6,6,"positive"
"85","truth",0,6,6,"positive"
"86","vigor",0,6,6,"positive"
"87","enjoy",0,5,5,"positive"
"88","general",0,5,5,"positive"
"89","green",0,5,5,"positive"
"90","leader",0,5,5,"positive"
"91","model",0,5,5,"positive"
"92","progress",0,5,5,"positive"
"93","rational",0,5,5,"positive"
"94","action",0,4,4,"positive"
"95","aid",0,4,4,"positive"
"96","brilliant",0,4,4,"positive"
"97","career",0,4,4,"positive"
"98","excel",0,4,4,"positive"
"99","journalist",0,4,4,"positive"
"100","labor",0,4,4,"positive"
