	HospitalID	Name	Zip	TypeControl	Teaching	DonorType	FullTimeCount	NetPatientRevenue	InpatientOperExp	OutpatientOperExp	Operating_Revenue	Operating_Income	AvlBeds
0	46996	Ridgecrest Regional Hospital	93555	Non Profit	Small/Rural	Charity	400.0	139170.3798	23385570.1	24661355.9	51087341.0	3040415.0	55
2	17741	St. Elizabeth Community Hospital	96080	Non Profit	Small/Rural	Charity	397.5	232503.0191	36682888.7	36739260.3	85808509.0	12386360.0	66
3	20277	Ukiah Valley Medical Center	95482	Non Profit	Small/Rural	Charity	503.5	214516.4481	32709222.65	43571851.35	79005075.0	2724001.0	65
4	29823	Colusa Regional Medical Center	95932-2954	Non Profit	Small/Rural	Charity	168.0	51726.4918	9022366.447	10402509.55	19445901.0	21025.0	48
5	13738	St. Mary Medical Center	92307-2206	Non Profit	Small/Rural	Charity	1216.0	540975.1175	125128283.3	66801544.65	199873795.0	7943967.0	186
6	38798	Goleta Valley Cottage Hospital	93111	Non Profit	Small/Rural	Charity	288.0	335179.5574	53589036.09	67030147.91	126303054.0	5683870.0	119
7	46348	Barton Memorial Hospital	96150	Non Profit	Small/Rural	Charity	750.0	335179.5574	53589036.09	67030147.91	126303054.0	5683870.0	119
8	33207	Memorial Hospital - Los Banos	93635-3419	Non Profit	Small/Rural	Charity	235.0	105166.8934	15065967.36	23338063.64	39282960.0	878929.0	48
9	44817	Fairchild Medical Center	96097-3450	Non Profit	Small/Rural	Charity	250.0	108162.9126	14859739.23	23623658.77	40140721.0	1657323.0	25
11	20231	Hanford Community Medical Center	93230-3513	Non Profit	Small/Rural	Charity	777.0	363127.5956	53704666.43	70582081.57	134067466.0	9780718.0	121
13	37043	Colorado River Medical Center	92363	Investor	Small/Rural	Charity	75.0	33593.68306	2309239.599	3787718.401	12295288.0	6198330.0	25
14	46342	Coalinga Regional Medical Center	93210	District	Small/Rural	Charity	160.0	65792.42623	15341310.03	7916539.9679999985	24164520.0	906670.0	131
15	33251	Sutter Coast Hospital	95531-8359	Non Profit	Small/Rural	Charity	363.0	172398.8579	22781278.48	38582723.52	63398216.0	2034214.0	59
16	13722	Redwood Memorial Hospital	95540	Non Profit	Small/Rural	Charity	193.0	103189.4044	14252309.04	18158329.96	37957024.0	5546385.0	35
18	20225	Frank R. Howard Memorial Hospital	95490-4225	Non Profit	Small/Rural	Charity	226.0	94015.90984	17300751.23	14392070.77	34945064.0	3252242.0	25
20	20266	Sonora Regional Medical Center - greenley	95370	Non Profit	Small/Rural	Charity	779.0	367540.6639	68228848.83	69968859.17	139302913.0	1105205.0	152
21	37436	Fallbrook Hospital	92028	District	Small/Rural	Charity	501.0	108960.418	23001687.34	14727466.66	40329849.0	2600695.0	146
22	17736	Sierra Nevada Memorial Hospital	95945	Non Profit	Small/Rural	Charity	524.5	295579.235	56692825.1	50264174.9	109748000.0	2791000.0	121
23	38802	Santa Ynez Valley Cottage Hospital	93463	Non Profit	Small/Rural	Charity	67.0	28773.45355	1780969.0180000004	8235087.982000002	10751114.0	735057.0	20
24	45067	Glenn Medical Center	95988-2745	Non Profit	Small/Rural	Charity	100.0	29712.3306	2076879.134	9501694.866	11932140.0	353566.0	15
27	19868	Ojai Valley Community Hospital	93023-3163	Non Profit	Small/Rural	Charity	180.0	59504.62295	11955296.77	10326804.23	22492281.0	210180.0	103
28	46996	Ridgecrest Regional Hospital	93555	Non Profit	Small/Rural	Charity	100.0	100000.0	230000.0	214000.0	143000.0	120000.0	34
29	44817	Fairfield Medical Center	96097-3450	Non Profit	Small/Rural	Charity	100.0	100000.0	230000.0	214000.0	143000.0	120000.0	60
